source,target,value
Limerick,A Young Lady of Lynn by Anonymous//171641
Philosophy,Religio Medici by Dr. Arthur Conan Doyle//175574
Philosophy,Retrospect by Dr. Arthur Conan Doyle//175575
Philosophy,Road Report by Kurt Brown//175737
Philosophy,Romanticism by David Baker//175835
Philosophy,Aristotle by Billy Collins//176050
Philosophy,Gairmscoile by Hugh MacDiarmid//176167
Philosophy,An Emeritus Addresses the School by John Ciardi//176403
Philosophy,Radio by Tom Clark//176462
Philosophy,The Waste Land by T. S. Eliot//176735
Philosophy,I Used to Think by Trumbull Stickney//176874
Philosophy,I Grant You Ample Leave by George Eliot//176896
Philosophy,Gravelly Run by A. R. Ammons//17695
Philosophy,Meditation at Lagunitas by Robert Hass//177014
Philosophy,Ah! Why, Because the Dazzling Sun by Emily Bronte//177110
Philosophy,Adventures in New Testament Greek: Nous by Scott Cairns//177144
Philosophy,The Moralists by Yvor Winters//177271
Philosophy,Sapphics Against Anger by Timothy Steele//177331
Philosophy,Wildflowers by Richard Howard//177448
Philosophy,Poem of Disconnected Parts by Robert Pinsky//177610
Philosophy,The Proximate Shore by John Koethe//177657
Philosophy,North Point North by John Koethe//177658
Philosophy,The Constant Voice by John Koethe//177664
Philosophy,Early Morning in Milwaukee by John Koethe//177665
Philosophy,Kolmarden Zoo by Bill Coyle//177730
Philosophy,To Yvor Winters, 1955 by Thom Gunn//177919
Philosophy,A Dialogue, between the Resolved Soul and Created Pleasure by Andrew Marvell//177942
Philosophy,Sonata by Gjertrud Schnackenberg//177964
Philosophy,Bottles in the Bombed City by Les Murray//178028
Philosophy,Song for Pythagoras by Dannie Abse//178137
Philosophy,More Sonnets At Christmas by Allen Tate//178269
Philosophy,Retroduction to American History by Allen Tate//178270
Philosophy,The Copper Beech by Marie Howe//178281
Philosophy,The Sponge by Joshua Mehigan//178345
Philosophy,Counselors by Robert Fitzgerald//178376
Philosophy,Against Complaint by Roddy Lumsden//178835
Philosophy,Simone Weil: The Year of Factory Work (1934-1935) by Edward Hirsch//179077
Philosophy,Less by Jason Guriel//179172
Philosophy,On Reading Crowds and Power by Geoffrey Hill//179338
Philosophy,Long Finger Poem by Jin Eun-Young//179427
Philosophy,from the Last Canto of Paradiso by Dante Alighieri//179431
Philosophy,Theodicy by Czeslaw Milosz//179560
Philosophy,Incantation by Czeslaw Milosz//179570
Philosophy,Interrupted Meditation by Robert Hass//179752
Philosophy,I Would Like to Describe by Zbigniew Herbert//179869
Philosophy,Episode by Zbigniew Herbert//179872
Philosophy,Failures in Infinitives by Bernadette Mayer//179925
Philosophy,Found Letter by Joshua Weiner//179964
Philosophy,Thin by Kay Ryan//18
Philosophy,Fact by Rae Armantrout//180001
Philosophy,Tomb of Baudelaire by Michael Palmer//180036
Philosophy,In Late August by Peter Campion//180172
Philosophy,Passage by Rae Armantrout//180173
Philosophy,Against Which by Michael Ryan//180183
Philosophy,Matins by Denise Levertov//18025
Philosophy,[The happy ones are almost always also vulgar] by Patrizia Cavalli//180295
Philosophy,I Fail As a Celibate by Jerome Rothenberg//180414
Philosophy,For Efessos by Odysseus Elytis//180428
Philosophy,At the Threshold of the Book by Edmond Jabes//180439
Philosophy,Drawn Curtains by Edmond Jabes//180441
Philosophy,Pre-Dialogue, II by Edmond Jabes//180442
Philosophy,Modern Love XXX by George Meredith//180743
Philosophy,On the Welsh Language by Katherine Philips//180792
Philosophy,Sourdough Mountain Lookout by Philip Whalen//180815
Philosophy,Down, Wanton, Down! by Robert Graves//180835
Philosophy,Questionnaire by Charles Bernstein//181132
Philosophy,From the Headland at Cumae by John Peck//181153
Philosophy,From the Towers by Heather McHugh//181183
Philosophy,Day Room by Tom Sleigh//181273
Philosophy,Sole Blessing by J. Allyn Rosser//181345
Philosophy,Perpetuum Mobile by Marin Sorescu//181441
Philosophy,Wings by Miroslav Holub//181466
Philosophy,Prelude by Michael Palmer//181562
Philosophy,Autobiography by Michael Palmer//181659
Philosophy,Philosopher Orders Crispy Pork by Heather McHugh//181707
Philosophy,Erotikos Logos by George Seferis//181858
Philosophy,Homage to Philip K. Dick by Norman Dubie//181890
Philosophy,Prose 31 by Michael Palmer//181922
Philosophy,Much Madness is divinest Sense - (620) by Emily Dickinson//182156
Philosophy,Let Us Consider by Russell Edson//182354
Philosophy,A Panic That Can Still Come Upon Me by Peter Gizzi//182377
Philosophy,A Word on Verbs by Wendy Videlock//182638
Philosophy,For the Old Gnostics by Robert Bly//182685
Philosophy,The Animals are Leaving by Charles Harper Webb//182899
Philosophy,Library by Brian Culhane//183457
Philosophy,Constantly Risking Absurdity (#15) by Lawrence Ferlinghetti//184167
Philosophy,Hamatreya by Ralph Waldo Emerson//184627
Philosophy,Water by Ralph Waldo Emerson//184637
Philosophy,Parks and ponds by Ralph Waldo Emerson//184647
Philosophy,Limits by Ralph Waldo Emerson//184677
Philosophy,The moon now rises to her absolute rule by Henry David Thoreau//184727
Philosophy,Sonnet of the Seven Chinese by Franco Fortini//185047
Philosophy,Many Scientists Convert to Islam by Nomi Stone//185587
Philosophy,Cartoon Physics, part 1 by Nick Flynn//185627
Philosophy,On Inhabiting an Orange by Josephine Miles//195886
Philosophy,The Giant Yea by Theodore Weiss//202494
Philosophy,Chicago by Carl Sandburg//2043
Philosophy,The Hammer by Carl Sandburg//2046
Philosophy,Who Am I? by Carl Sandburg//2049
Philosophy,Chanson Philosophique by Timothy Steele//211280
Philosophy,Natural Selection by Alan Shapiro//216128
Philosophy,Wight by Stanley Plumly//216266
Philosophy,On the Road by John Updike//216306
Philosophy,Tea-Strainer by Joyelle McSweeney//216324
Philosophy,Tomorrow by Dennis O'Driscoll//216327
Philosophy,Looking Around by Charles Wright//216412
Philosophy,Platonic Love by Curt Anderson//216480
Philosophy,Mind // Body by Gregory Djanikian//216537
Philosophy,Pura Vida by John Updike//216656
Philosophy,Un citadin / A City Dweller by Jacques Reda//216762
Philosophy,To the Consolations of Philosophy by W. S. Merwin//216841
Philosophy,Over and Over Tune by Ioanna Carlsen//216862
Philosophy,Layabout by John Brehm//216921
Philosophy,Zen Living by Dick Allen//216946
Philosophy,Translation by Deirdre O'Connor//217005
Philosophy,To Luck by W. S. Merwin//217076
Philosophy,Tenderness and Rot by Kay Ryan//217089
Philosophy,Thought by Thomas Pfau//217150
Philosophy,0 by Hailey Leithauser//217452
Philosophy,Kindness by Yusef Komunyakaa//217509
Philosophy,What I Know About Epistemology by John Surowiecki//217543
Philosophy,She Considers the Dimensions of Her Soul by Young Smith//217621
Philosophy,My God by Susan Rolston//217645
Philosophy,Nightwatchman's Song by W. D. Snodgrass//217722
Philosophy,Repulsive Theory by Kay Ryan//217738
Philosophy,The Sun by Dan Chiasson//217756
Philosophy,To Judgment: An Assay by Jane Hirshfield//217761
Philosophy,A Posthumous Poetics by Michael Ryan//21882
Philosophy,Salvage by Kay Ryan//22
Philosophy,from Lives of the Dead:  An Epic: Chapter Two by Hanoch Levin//236722
Philosophy,Whispers of Immortality by T. S. Eliot//236778
Philosophy,Q & A by Kenneth Fearing//236910
Philosophy,The Idler by Alice Moore Dunbar-Nelson//236942
Philosophy,Another Road Home by Scott Cairns//236986
Philosophy,Behind the Prytaneum by T. Zachary Cotler//237010
Philosophy,Teeth by Kevin McFadden//237020
Philosophy,Robert Duncan by Robin Blaser//237150
Philosophy,Green-Striped Melons by Jane Hirshfield//237308
Philosophy,Ice Bound by Walter Bargen//237346
Philosophy,Museums by Dan Beachy-Quick//237456
Philosophy,Half-Ourselves & Half-Not by Colin Cheney//237488
Philosophy,Human Lot by Dean Young//237734
Philosophy,L Equals Look by Mary Jo Bang//237738
Philosophy,Sifting in the Afternoon by Malachi Black//238040
Philosophy,Leviathan by George Oppen//238466
Philosophy,Arguing with Something Plato Said by Jack Collom//238522
Philosophy,Living at the End of Time by Robert Bly//238610
Philosophy,Encounter in the Local Pub by Eleanor Wilner//238622
Philosophy,Journey by Gerald Stern//238830
Philosophy,The Blue Stairs by Barbara Guest//239009
Philosophy,Testament by Connie Voisine//239448
Philosophy,Herr Stimmung on Transparency by Keith Waldrop//239516
Philosophy,Sonnets to Morpheus ["I know kung fu"] by John Beer//239568
Philosophy,Mary, Color Scientist by John Beer//239570
Philosophy,Eponymous by Paul Killebrew//239588
Philosophy,China III by Adrienne Su//239604
Philosophy,['Often rebuked, yet always back returning'] by Emily Bronte//239638
Philosophy,[jumpsuits] by Ben Lerner//239654
Philosophy,Forms of Politeness by Mei-Mei Berssenbrugge//239666
Philosophy,Permanent Home by Mei-Mei Berssenbrugge//239668
Philosophy,Monsoon Eclogue by Srikanth Reddy//239680
Philosophy,Upon Nothing by John Wilmot, Earl of Rochester//239690
Philosophy,II. Homunculus by Eileen R. Tabios//239890
Philosophy,Gold and Cardboard by David Shapiro//239950
Philosophy,from The Ambition of Ghosts:  I. Remembering into Sleep by Rosmarie Waldrop//240886
Philosophy,Representation by Rosmarie Waldrop//240892
Philosophy,Autobiography by Kazim Ali//240900
Philosophy,East of Carthage: An Idyll by Khaled Mattawa//240908
Philosophy,In Every Life by Alicia Ostriker//241136
Philosophy,Ceriserie by Joshua Clover//241334
Philosophy,A Time of Bees by Mona Van Duyn//241348
Philosophy,Philosophies by Dorothea Lasky//241422
Philosophy,Love Poem by Dorothea Lasky//241426
Philosophy,Theories of the Soul by Karen An-hwei Lee//241570
Philosophy,Klein on Mourning by Francisco Aragon//241768
Philosophy,The Visible World by Jorie Graham//242176
Philosophy,The Atrophy of Private LIfe by Jennifer Moxley//242196
Philosophy,Book 3, Epigram 36 by Thomas Bastard//242358
Philosophy,Autobiography 2 (hellogoodby) by Michael Palmer//242394
Philosophy,from d e l e t e, Part 6 by Richard O. Moore//242906
Philosophy,Wall, Cave, and Pillar Statements, after Asoka by Alan Dugan//243084
Philosophy,The Friends of Heraclitus by Charles Simic//243112
Philosophy,[Trying to see the proportional relation] by Ariana Reines//244004
Philosophy,ETA by Melvin B. Tolson//245220
Unrequited Love,Unromantic Love by J. V. Cunningham//171444
Unrequited Love,Sway by Louis Simpson//171545
Unrequited Love,The Consolations of Sociobiology by Bill Knott//171658
Unrequited Love,A Fixed Idea by Amy Lowell//171717
Unrequited Love,The Blue Scarf by Amy Lowell//171723
Unrequited Love,The Illiterate by William Meredith//171853
Unrequited Love,On the Metro by C. K. Williams//171980
Unrequited Love,from The Bridge: Southern Cross by Hart Crane//172032
Unrequited Love,The Cap and Bells by William Butler Yeats//172056
Unrequited Love,Isolation: To Marguerite by Matthew Arnold//172848
Unrequited Love,To Marguerite: Continued by Matthew Arnold//172865
Unrequited Love,The Disappointment by Aphra Behn//172895
Unrequited Love,Song: Memory, hither come by William Blake//172941
Unrequited Love,Song: My silks and fine array by William Blake//172942
Unrequited Love,Epitaph for a Romantic Woman by Louise Bogan//172945
Unrequited Love,Life in a Love by Robert Browning//173017
Unrequited Love,Love in a Life by Robert Browning//173020
Unrequited Love,Never the Time and the Place by Robert Browning//173026
Unrequited Love,Youth and Art by Robert Browning//173036
Unrequited Love,Mary Morison by Robert Burns//173067
Unrequited Love,Follow Your Saint by Thomas Campion//173125
Unrequited Love,There Is A Garden In Her Face by Thomas Campion//173127
Unrequited Love,Thrice Toss These Oaken Ashes by Thomas Campion//173128
Unrequited Love,Jacob by Phoebe Cary//173172
Unrequited Love,from Troilus and Criseyde: Book II by Geoffrey Chaucer//173194
Unrequited Love,Love's Deity by John Donne//173376
Unrequited Love,Lovers' Infiniteness by John Donne//173377
Unrequited Love,A Song from the Italian from Limberham: or, the Kind Keeper by John Dryden//173450
Unrequited Love,Song to a Fair Young Lady Going out of Town in the Spring by John Dryden//173451
Unrequited Love,The Love Song of J. Alfred Prufrock by T. S. Eliot//173476
Unrequited Love,My Picture Left in Scotland by Ben Jonson//173726
Unrequited Love,La Belle Dame sans Merci: A Ballad by John Keats//173740
Unrequited Love,Ode on a Grecian Urn by John Keats//173742
Unrequited Love,Revenge by Letitia Elizabeth Landon//173822
Unrequited Love,You Smiled, You Spoke, and I Believed by Walter Savage Landor//173836
Unrequited Love,The Spider and the Ghost of the Fly by Vachel Lindsay//173886
Unrequited Love,The Definition of Love by Andrew Marvell//173945
Unrequited Love,Love in the Valley by George Meredith//173966
Unrequited Love,Modern Love: XIV by George Meredith//173971
Unrequited Love,The Betrothal by Edna St. Vincent Millay//173984
Unrequited Love,Ebb by Edna St. Vincent Millay//173986
Unrequited Love,Town Eclogues: Wednesday; The Tete a Tete by Lady Mary Wortley Montagu//174030
Unrequited Love,Song in a Minor Key by Dorothy Parker//174103
Unrequited Love,As You Came from the Holy Land (attributed) by Sir Walter Ralegh//174204
Unrequited Love,De Profundis by Christina Rossetti//174260
Unrequited Love,To ---- by Percy Bysshe Shelley//174412
Unrequited Love,Astrophil and Stella 1: Loving in truth, and fain in verse my love to show by Sir Philip Sidney//174419
Unrequited Love,Astrophil and Stella 39: Come Sleep! O Sleep, the certain knot of peace by Sir Philip Sidney//174427
Unrequited Love,Ring Out Your Bells by Sir Philip Sidney//174435
Unrequited Love,Iambicum Trimetrum by Edmund Spenser//174482
Unrequited Love,Song: Why so pale and wan fond lover? by Sir John Suckling//174514
Unrequited Love,Sonnet 1: Dost see how unregarded now by Sir John Suckling//174515
Unrequited Love,A Leave-Taking by Algernon Charles Swinburne//174563
Unrequited Love,The Triumph of Time by Algernon Charles Swinburne//174574
Unrequited Love,Mariana by Alfred, Lord Tennyson//174632
Unrequited Love,from The Princess: O Swallow by Alfred, Lord Tennyson//174648
Unrequited Love,Constancy by John Wilmot, Earl of Rochester//174774
Unrequited Love,To His Mistress by John Wilmot, Earl of Rochester//174776
Unrequited Love,"Shall I wasting in despair" by George Wither//174779
Unrequited Love,Avising the Bright Beams by Sir Thomas Wyatt//174843
Unrequited Love,The Long Love that in my Thought doth Harbour by Sir Thomas Wyatt//174851
Unrequited Love,My Lute Awake by Sir Thomas Wyatt//174854
Unrequited Love,Whoso List to Hunt, I Know where is an Hind by Sir Thomas Wyatt//174862
Unrequited Love,To Rosemounde: A Balade by Geoffrey Chaucer//174963
Unrequited Love,The Look by Sara Teasdale//175277
Unrequited Love,Union Square by Sara Teasdale//175281
Unrequited Love,Reserve by Louise Imogen Guiney//175358
Unrequited Love,Lost Content by A. F. Moritz//175444
Unrequited Love,Such Is the Sickness of Many a Good Thing by Robert Duncan//175595
Unrequited Love,Cowgirl by R. T. Smith//176379
Unrequited Love,The Night Piece, to Julia by Robert Herrick//176770
Unrequited Love,Four Poems for Robin by Gary Snyder//177253
Unrequited Love,Ametas and Thestylis Making Hay-ropes by Andrew Marvell//177941
Unrequited Love,Damon the Mower by Andrew Marvell//177951
Unrequited Love,Virginity by Anna Swir//178370
Unrequited Love,To One Unknown by Helen Dudley//1784
Unrequited Love,The Hearts by Robert Pinsky//178979
Unrequited Love,To a Greek Marble by Richard Aldington//1791
Unrequited Love,Piazza Piece by John Crowe Ransom//179120
Unrequited Love,sweet reader, flanneled and tulled by Olena Kalytiak Davis//179218
Unrequited Love,A un Desconocido by Lorna Dee Cervantes//179284
Unrequited Love,Love and Death by Lord Byron (George Gordon)//179288
Unrequited Love,Under Two Windows by Schuyler Van Rensselaer//1798
Unrequited Love,No Second Troy by William Butler Yeats//179967
Unrequited Love,[From behind, standing, from a distance] by Patrizia Cavalli//180296
Unrequited Love,For That He Looked Not upon Her by George Gascoigne//180339
Unrequited Love,Amoretti XXIII: Penelope for her Ulisses sake by Edmund Spenser//180373
Unrequited Love,Amoretti LIV: Of this worlds Theatre in which we stay by Edmund Spenser//180374
Unrequited Love,Astrophil and Stella 63: O Grammar rules, O now your virtues show by Sir Philip Sidney//180405
Unrequited Love,Fourth Song by Sir Philip Sidney//180411
Unrequited Love,Amoretti LV: So oft as I her beauty do behold by Edmund Spenser//180615
Unrequited Love,Barbara Allen by Anonymous//180616
Unrequited Love,Sonnet 141: In faith, I do not love thee with mine eyes by William Shakespeare//180619
Unrequited Love,Idea 43: Why should your fair eyes with such sovereign grace by Michael Drayton//180621
Unrequited Love,Tides by Helen Hunt Jackson//180636
Unrequited Love,Sometimes with One I Love by Walt Whitman//180665
Unrequited Love,"Go, lovely Rose" by Edmund Waller//180684
Unrequited Love,A Broken Appointment by Thomas Hardy//180709
Unrequited Love,Astrophil and Stella 106: O absent presence, Stella is not here by Sir Philip Sidney//180765
Unrequited Love,She Lay All Naked by Anonymous//180830
Unrequited Love,After Death by Christina Rossetti//180847
Unrequited Love,Epistle to Miss Blount, On Her Leaving the Town, After the Coronation by Alexander Pope//180853
Unrequited Love,Somewhere or Other by Christina Rossetti//180855
Unrequited Love,To Mrs. M. A. Upon Absence by Katherine Philips//180856
Unrequited Love,Astrophil and Stella 30: With how sad steps, O moon, thou climb'st the skies by Sir Philip Sidney//180865
Unrequited Love,To Cupid by Joanna Baillie//180873
Unrequited Love,To My Young Lover by Jane Barker//180876
Unrequited Love,from To Alexis In Answer to His Poem Against Fruition by Aphra Behn//180878
Unrequited Love,Song by Lady Mary Chudleigh//180894
Unrequited Love,To J.G. On the News of His Marriage by Ephelia//180907
Unrequited Love,The Unfortunate Damsel by Mrs. Fleetwood Habergham//180914
Unrequited Love,Delia 2: Go wailing verse, the infants of my love by Samuel Daniel//180992
Unrequited Love,Delia 32: But love whilst that thou mayst be loved again by Samuel Daniel//180993
Unrequited Love,Delia 37: When men shall find thy flower, thy glory pass by Samuel Daniel//180994
Unrequited Love,Delia 53: Unhappy pen and ill accepted papers by Samuel Daniel//180996
Unrequited Love,Sonnet  87: Farewell! thou art too dear for my possessing by William Shakespeare//181005
Unrequited Love,Sonnet 135: Whoever hath her wish, thou hast thy Will by William Shakespeare//181007
Unrequited Love,Kind Are Her Answers by Thomas Campion//181044
Unrequited Love,Denial by George Herbert//181055
Unrequited Love,Medley of the Cut by John Peck//181134
Unrequited Love,To His Lady by Giacomo Leopardi//181330
Unrequited Love,Jealousy by Rupert Brooke//181575
Unrequited Love,The Breather by Billy Collins//181717
Unrequited Love,A Reverie by Joanna Baillie//182515
Unrequited Love,A Disappointment by Joanna Baillie//182516
Unrequited Love,Surface Translations by Lisa Fishman//182545
Unrequited Love,Sonnet 16 by Richard Barnfield//183677
Unrequited Love,The Voice by Thomas Hardy//184537
Unrequited Love,The Wind at the Door by William Barnes//184897
Unrequited Love,Song by Brenda Cardenas//185637
Unrequited Love,Tutto A" Sciolto by James Joyce//192104
Unrequited Love,Dreams by Arthur Symons//193289
Unrequited Love,To a Grey Dress by Arthur Symons//193290
Unrequited Love,Old Love and New by Sara Teasdale//2058
Unrequited Love,Debt by Sara Teasdale//2060
Unrequited Love,Nimis Compos Mentis by Leslie Monsour//216325
Unrequited Love,Shy Boy by Greg Sellers//217048
Unrequited Love,My Old Idols by J. D. McClatchy//236596
Unrequited Love,Late Night Ode by J. D. McClatchy//236602
Unrequited Love,from Deaf Republic: 15 by Ilya Kaminsky//236716
Unrequited Love,When I Was One-and-Twenty by A. E. Housman//237110
Unrequited Love,Dear Gonglya, by Brenda Shaughnessy//237332
Unrequited Love,Project for a Fainting by Brenda Shaughnessy//237336
Unrequited Love,Epithalament by Brenda Shaughnessy//237340
Unrequited Love,The Magic of Numbers by Kenneth Koch//237624
Unrequited Love,New Endymion by W. S. Di Piero//237706
Unrequited Love,from Pamphilia to Amphilanthus: 17 by Lady Mary Wroth//239294
Unrequited Love,Rain by Kazim Ali//240914
Unrequited Love,Love Song by William Carlos Williams//241066
Unrequited Love,Nocturnal Admissions by Chip Livingston//241496
Unrequited Love,After School, Street Football, Eighth Grade by Dennis Cooper//242336
Unrequited Love,ABBA by Dennis Cooper//242426
Unrequited Love,First Love by Jan Owen//242926
Unrequited Love,What to Say Upon Being Asked to Be Friends by Julian Talamantez Brolaski//244002
Unrequited Love,Moon by Kathleen Jamie//244600
Unrequited Love,Fooled Me for Years with the Wrong Pronouns by Gwyneth Lewis//245708
Unrequited Love,Sonnet 133: Beshrew that heart that makes my heart to groan by William Shakespeare//245768
Unrequited Love,Sonnet 139: O, call not me to justify the wrong by William Shakespeare//245770
Unrequited Love,Sonnet 147: My love is as a fever, longing still by William Shakespeare//245774
Villanelle,One Art by Elizabeth Bishop//176996
Villanelle,Grand Central, Track 23 by Elizabeth Skurnick//185677
Villanelle,Sugar Dada by J. Allyn Rosser//216842
Villanelle,During the Service by Carrie Grabo//217017
Villanelle,Order by Linda Kunhardt//239260
Villanelle,After a Greek Proverb by A. E. Stallings//243216
Villanelle,September 2011 by Elizabeth Seydel Morgan//244598
Villanelle,After the Auction, I Bid You Good-Bye by Aimee Nezhukumatathil//245524
Pastoral,Montana Pastoral by J. V. Cunningham//171443
Pastoral,Canada Anemone by Fleda Brown//175795
Pastoral,Raking Near the Great Works by Megan Grumbling//176509
Pastoral,Country Summer by Leonie Adams//178824
Pastoral,Roots by John Piller//216022
Pastoral,Suburban Pastoral by Dave Lucas//217959
